Target,ID,Date,Flag,User,Tweet,Clean_Tweet,Sentiment
4,1956421880,Thu May 28 21:50:38 PDT 2009,NO_QUERY,heidilhansen,"@evasnee The Walt Mossberg allthingsdigital blog post about the #Pre, windows mobile, android, nokia, iphone was heavy on UX. ", the walt mossberg allthingsdigital blog post about the pre windows mobile android nokia iphone was heavy on ux ,Negative
4,1973486172,Sat May 30 11:14:31 PDT 2009,NO_QUERY,AndyBold,Yay. We arrived at the park. Ready for our BBQ today. ,yay we arrived at the park ready for our bbq today ,Positive
0,2299377357,Tue Jun 23 12:50:45 PDT 2009,NO_QUERY,aliciamorris07,@EverythingEads been doing laundry also , been doing laundry also ,Neutral
4,2015246697,Wed Jun 03 04:07:51 PDT 2009,NO_QUERY,tigerbiru,@nessie_111 I see ...  What does TV Guru means on ur Bio anyway ? :p, i see   what does tv guru means on ur bio anyway  p,Neutral
0,2060557487,Sat Jun 06 19:07:46 PDT 2009,NO_QUERY,chloster09,Swiming is fun but not so fun alone  wish ash wasnt such a big baby,swiming is fun but not so fun alone  wish ash wasnt such a big baby,Positive
0,2186832321,Mon Jun 15 19:24:08 PDT 2009,NO_QUERY,sunshinetrout,@cherrystphoto LOL! I love Moe's! They all closed here though. Bummer. , lol i love moes they all closed here though bummer ,Positive
4,1961767803,Fri May 29 10:00:51 PDT 2009,NO_QUERY,GreenEyes270,If u got tickets for Coldplay in Detroit..ticketmaster changed showtime to 7pm instead of 7:30! Just lettin' ya'll know to be on time ,if u got tickets for coldplay in detroitticketmaster changed showtime to pm instead of  just lettin yall know to be on time ,Neutral
0,2244393767,Fri Jun 19 14:41:17 PDT 2009,NO_QUERY,xx_Megan_xx,aww he's gutted!!!! didnt want either to go ,aww hes gutted didnt want either to go ,Positive
0,2064466413,Sun Jun 07 06:20:38 PDT 2009,NO_QUERY,bigenya,"@taytaybulls Yeah, if only we had dedicated lanes when we were in college ", yeah if only we had dedicated lanes when we were in college ,Neutral
4,2014977647,Wed Jun 03 03:18:46 PDT 2009,NO_QUERY,stevemaths,"@jssavvy  You misunderstand. It's a stimulus, not for the economy, but  for tax agents. Perhaps someone said they need to work harder ",  you misunderstand its a stimulus not for the economy but  for tax agents perhaps someone said they need to work harder ,Negative
0,1990649324,Mon Jun 01 05:24:56 PDT 2009,NO_QUERY,andrewtho,is bored at home. Holidays are such a drag! ,is bored at home holidays are such a drag ,Negative
0,1825180509,Sun May 17 04:41:28 PDT 2009,NO_QUERY,jorinek,poo  so much to do,poo  so much to do,Positive
4,1999726555,Mon Jun 01 20:42:52 PDT 2009,NO_QUERY,heyyitskate,logged out of mileyworld..coz i was bored. facebook. ,logged out of mileyworldcoz i was bored facebook ,Negative
0,1573614299,Tue Apr 21 02:00:40 PDT 2009,NO_QUERY,Kendra4real,Can't sleep for ish ,cant sleep for ish ,Neutral
4,2183477492,Mon Jun 15 14:33:34 PDT 2009,NO_QUERY,britespark,"@lostgirl66 So hows the rootin', tootin' gun toting Mk Don tonight? ", so hows the rootin tootin gun toting mk don tonight ,Neutral
0,2001909749,Tue Jun 02 02:29:59 PDT 2009,NO_QUERY,TaylaMe3,@RussellBfan90 aaaww  its bad for us Russell Brand fanatics lol, aaaww  its bad for us russell brand fanatics lol,Positive
4,2175584901,Mon Jun 15 01:24:21 PDT 2009,NO_QUERY,aarkid_chris,Last week of my daughters a levels this week - then all set for a relaxing summer apart from exam results day.  ,last week of my daughters a levels this week  then all set for a relaxing summer apart from exam results day  ,Neutral
0,1770654429,Mon May 11 21:53:40 PDT 2009,NO_QUERY,JaniceMyNig,@kmzrtl haha me too fuck , haha me too fuck ,Negative
4,1833332319,Sun May 17 22:57:54 PDT 2009,NO_QUERY,rizamatias,@DavidArchie i hope u'll come back again in the philippines!very soon!  Take care!, i hope ull come back again in the philippinesvery soon  take care,Neutral
0,2232693666,Thu Jun 18 20:15:43 PDT 2009,NO_QUERY,Lanisha23,@maprimo awh  i dont like going to events with performers. wack wack wack!!!, awh  i dont like going to events with performers wack wack wack,Neutral
0,2323948725,Thu Jun 25 01:54:02 PDT 2009,NO_QUERY,miss_infantado,I don't understand why there are students who do not even devote a single time studying. it shows in their exams. walking basketball.  tsk,i dont understand why there are students who do not even devote a single time studying it shows in their exams walking basketball  tsk,Negative
4,1467986661,Mon Apr 06 23:07:49 PDT 2009,NO_QUERY,alexboles,@caitlindean You should never regret. Things happen for a reason. Figuring out what that reason was is the hard part. Use your friends. , you should never regret things happen for a reason figuring out what that reason was is the hard part use your friends ,Negative
0,2045725206,Fri Jun 05 11:08:41 PDT 2009,NO_QUERY,krysldi, last day in DC. This trip has been 100% rewarding., last day in dc this trip has been  rewarding,Positive
4,1957313869,Fri May 29 00:07:47 PDT 2009,NO_QUERY,bcas3,Today was a gooood day. I enjoyed it and had fun. Thank you boo. ,today was a gooood day i enjoyed it and had fun thank you boo ,Positive
4,2184739426,Mon Jun 15 16:20:56 PDT 2009,NO_QUERY,omgtwittterrr,"Two more followers in like a minute, heck yeahhh.  Keep followin me! lol ",two more followers in like a minute heck yeahhh  keep followin me lol ,Positive
0,1995204347,Mon Jun 01 13:06:56 PDT 2009,NO_QUERY,soco210,@Privileged really sad the show wasn't picked back up  I'm sure you guys will all be around soon enough!, really sad the show wasnt picked back up  im sure you guys will all be around soon enough,Neutral
4,2003130564,Tue Jun 02 05:56:31 PDT 2009,NO_QUERY,Danniette,Looks like it is going to be an AWESOME DAY!  Should call in sick at work!   Hmmmmmm.... That is an idea!,looks like it is going to be an awesome day  should call in sick at work   hmmmmmm that is an idea,Positive
4,2175956859,Mon Jun 15 02:29:44 PDT 2009,NO_QUERY,cely5,Getting things in thee car! To head back to my home town!  can wait to see thee texas things  i miss everything! :/,getting things in thee car to head back to my home town  can wait to see thee texas things  i miss everything ,Neutral
0,2321700836,Wed Jun 24 21:26:19 PDT 2009,NO_QUERY,Christaaaah,I wish it was possible to have a concert this intimate. ,i wish it was possible to have a concert this intimate ,Positive
0,2246017939,Fri Jun 19 16:58:38 PDT 2009,NO_QUERY,AbradeKhan,Today in 1964 Twilight Zone was cancelled   Show was ahead of its time.,today in  twilight zone was cancelled   show was ahead of its time,Neutral
0,1994384370,Mon Jun 01 11:50:47 PDT 2009,NO_QUERY,novaici,@metroid0714 A tenant who lives at the house my dad is renting. My dad's out of the country and so he delegated me to do it , a tenant who lives at the house my dad is renting my dads out of the country and so he delegated me to do it ,Neutral
0,1751166341,Sat May 09 18:49:18 PDT 2009,NO_QUERY,amyjklinger,"@whitneyhill sorry, that was rude of me to say all that.  not trying to ruin your moviegoing experience ", sorry that was rude of me to say all that  not trying to ruin your moviegoing experience ,Negative
4,1833813819,Mon May 18 00:33:02 PDT 2009,NO_QUERY,ao_deca,@joeslaughter no you didn't. them in the picture? , no you didnt them in the picture ,Neutral
0,1827710578,Sun May 17 11:17:07 PDT 2009,NO_QUERY,ACsBarbieGirl69,@Trejsi no  i dont have net so i cant youtube him!, no  i dont have net so i cant youtube him,Neutral
0,2001109828,Mon Jun 01 23:52:14 PDT 2009,NO_QUERY,loveli,"Morning all! The child is poorly today,so no driving around in the new car for me. Sometimes parenting sucks ",morning all the child is poorly todayso no driving around in the new car for me sometimes parenting sucks ,Negative
4,2051354580,Fri Jun 05 21:46:19 PDT 2009,NO_QUERY,Rdiluigi,@TheGeek616 http://bit.ly/waUk9  Pixelated Geek posted our sick freestyle before the Nintendo press conference. ,   pixelated geek posted our sick freestyle before the nintendo press conference ,Negative
4,1981596624,Sun May 31 09:29:26 PDT 2009,NO_QUERY,iamSAMazing,"@indiacaughtfire I live in Queens, yay! ", i live in queens yay ,Positive
4,2014400520,Wed Jun 03 01:24:23 PDT 2009,NO_QUERY,dcwb90,@Bensue lol am kidding! Gurl let's dance the night away  x, lol am kidding gurl lets dance the night away  x,Positive
4,2071223564,Sun Jun 07 19:02:32 PDT 2009,NO_QUERY,KellyShibari,Don't force-feed me how awesome you are. SHOW me. INTERACT with me. Be SOCIAL with me. LET me make that decision on my own ,dont forcefeed me how awesome you are show me interact with me be social with me let me make that decision on my own ,Positive
4,1822323396,Sat May 16 19:18:37 PDT 2009,NO_QUERY,dancingsquint,"Recorded myself, sounded kinda well... chatting with a friend ",recorded myself sounded kinda well chatting with a friend ,Neutral
0,2263695283,Sun Jun 21 01:32:30 PDT 2009,NO_QUERY,lisamariehi,not going to paris after all ,not going to paris after all ,Neutral
0,2194838176,Tue Jun 16 10:19:43 PDT 2009,NO_QUERY,OMFGShaunieSays,@JCullenx i needed to be at least a 6c in science to change to humanities and im one fucking sublevel below , i needed to be at least a c in science to change to humanities and im one fucking sublevel below ,Negative
4,2060367633,Sat Jun 06 18:46:26 PDT 2009,NO_QUERY,lexiloubox,Wow. Its been SOO long since boys in a car flirted w this old gal. Still got that feeling and smiled cuz I have a wonderful 1 @ home ,wow its been soo long since boys in a car flirted w this old gal still got that feeling and smiled cuz i have a wonderful   home ,Positive
4,1976906869,Sat May 30 19:30:56 PDT 2009,NO_QUERY,carnivaldesires,just got back from movies and b&amp;n :] got a crocheting set and new sketch book ,just got back from movies and bampn  got a crocheting set and new sketch book ,Positive
0,2187708525,Mon Jun 15 20:41:06 PDT 2009,NO_QUERY,HaleyMegan,Wow. I almost killed us. My night blindness has gotten the best of me ,wow i almost killed us my night blindness has gotten the best of me ,Positive
4,2181827808,Mon Jun 15 12:21:06 PDT 2009,NO_QUERY,LaRoCkErItA1992,GOT THE JONAS BROTHERS CD.. ,got the jonas brothers cd ,Neutral
4,2016761296,Wed Jun 03 07:19:05 PDT 2009,NO_QUERY,alexandraasol,http://twitpic.com/6j506 - Getting ready to go out at A's place ,  getting ready to go out at as place ,Positive
4,2052842093,Sat Jun 06 02:14:10 PDT 2009,NO_QUERY,viherrera,Calcarrie girls just sang happy birthday  now I can blow out my... Pasta.,calcarrie girls just sang happy birthday  now i can blow out my pasta,Positive
0,1556594455,Sat Apr 18 23:28:58 PDT 2009,NO_QUERY,kaybeeoh,"bed with jolynn..i hate last nights in philly, knowing i have to leave tmrw. ",bed with jolynni hate last nights in philly knowing i have to leave tmrw ,Negative
0,1752769694,Sat May 09 22:55:54 PDT 2009,NO_QUERY,AnotherSocial1,@Deltadivarn I did but I don't know how to make it show up  I am Dumb right about now on this site, i did but i dont know how to make it show up  i am dumb right about now on this site,Negative
4,2004475037,Tue Jun 02 08:15:30 PDT 2009,NO_QUERY,mandaraejones,Working hard today to get this order out - and they're installing my glass tops in my display! Pics later ,working hard today to get this order out  and theyre installing my glass tops in my display pics later ,Negative
4,2064569148,Sun Jun 07 06:37:19 PDT 2009,NO_QUERY,LIMUELINC,"@Lyndseyannem haha, she's more of a man than me ", haha shes more of a man than me ,Positive
4,2190501597,Tue Jun 16 02:54:51 PDT 2009,NO_QUERY,s4sukhdeep,@anaggh , ,Neutral
0,2180516960,Mon Jun 15 10:34:40 PDT 2009,NO_QUERY,Susa75,"@IsaMilano Yeah, and I got plenty of pics to go with the memories. Just wish I knew if I'll ever get to see the guys again ", yeah and i got plenty of pics to go with the memories just wish i knew if ill ever get to see the guys again ,Negative
0,1985670400,Sun May 31 17:33:06 PDT 2009,NO_QUERY,LDelphian,I am sooooo hungover. This sucks.. And I feel like I smoked a pack of cigarettes when I didn't even have 1! Boo ,i am sooooo hungover this sucks and i feel like i smoked a pack of cigarettes when i didnt even have  boo ,Negative
0,1980392529,Sun May 31 06:36:34 PDT 2009,NO_QUERY,andieeee,Packing up the trailer getting ready to leave florida. ,packing up the trailer getting ready to leave florida ,Positive
0,2174704962,Sun Jun 14 23:07:37 PDT 2009,NO_QUERY,millyrox,Pink Eye in both Eyes  never had this before and it is not fun!!,pink eye in both eyes  never had this before and it is not fun,Negative
4,2179378169,Mon Jun 15 09:01:28 PDT 2009,NO_QUERY,muhchizzzle,@yelyahwilliams I adore No Doubt but I'm really going because of Paramore.  ND is a bonus.  cannot wait until tomorrow night. , i adore no doubt but im really going because of paramore  nd is a bonus  cannot wait until tomorrow night ,Positive
4,1565501475,Mon Apr 20 06:54:32 PDT 2009,NO_QUERY,w3tim,@northwest200 looking good , looking good ,Positive
0,1990504895,Mon Jun 01 05:02:45 PDT 2009,NO_QUERY,moochtmonkey,@bdlf90 what's wrong? , whats wrong ,Negative
0,1998754802,Mon Jun 01 19:04:17 PDT 2009,NO_QUERY,devilaether,"@duckix Ouch, busted. Yeah, they do that sometimes.  ", ouch busted yeah they do that sometimes  ,Neutral
4,2060752351,Sat Jun 06 19:30:37 PDT 2009,NO_QUERY,laceandconverse,@quidnunct It is my favorite movie ever! I &lt;3 Wall-E , it is my favorite movie ever i lt walle ,Positive
0,1968872292,Fri May 29 22:25:37 PDT 2009,NO_QUERY,FashionLIFE,@GQBugs  dont cut yourself off from people.,  dont cut yourself off from people,Neutral
4,2045688857,Fri Jun 05 11:05:31 PDT 2009,NO_QUERY,JodiReagan,Just got my &quot;Queen for a Day&quot; birthday balloon ...   Happy B-day to me! ,just got my quotqueen for a dayquot birthday balloon    happy bday to me ,Positive
0,2205998834,Wed Jun 17 05:49:52 PDT 2009,NO_QUERY,ChantiParnell,@_Tanyya go for a walk then haha i usually do. I keep goin really dizzy as if im gonna faint  i duno what it is .., go for a walk then haha i usually do i keep goin really dizzy as if im gonna faint  i duno what it is ,Negative
0,1981653844,Sun May 31 09:36:42 PDT 2009,NO_QUERY,Riyanweb,@blacksaul find yourself Nicole before U attack me , find yourself nicole before u attack me ,Neutral
0,1961088802,Fri May 29 08:58:09 PDT 2009,NO_QUERY,algarcia3505,Is a hot hell of a mess. I wish i would have gone to arlington for zeta! ,is a hot hell of a mess i wish i would have gone to arlington for zeta ,Positive
4,1827053467,Sun May 17 09:53:38 PDT 2009,NO_QUERY,briankulp,hanging out with @paulhv ,hanging out with  ,Neutral
4,1825913964,Sun May 17 07:12:21 PDT 2009,NO_QUERY,lyraelson,yay! i hate unnecessary 'lol's as well!! ,yay i hate unnecessary lols as well ,Negative
0,1957039947,Thu May 28 23:21:01 PDT 2009,NO_QUERY,Ennjo,@blood_rain i wanna see her hair  hows everyone?, i wanna see her hair  hows everyone,Neutral
0,2208613166,Wed Jun 17 09:24:55 PDT 2009,NO_QUERY,Nanette,@ABombshell Oncologist??? Why? , oncologist why ,Neutral
4,2002308626,Tue Jun 02 03:49:48 PDT 2009,NO_QUERY,JuliaSHarrison,My grandmother is coming today!! ,my grandmother is coming today ,Neutral
0,2217407026,Wed Jun 17 20:49:28 PDT 2009,NO_QUERY,beachphotog,Had a great time with the cuz and sad because she's going to college next Friday... ,had a great time with the cuz and sad because shes going to college next friday ,Positive
0,1979432602,Sun May 31 03:01:24 PDT 2009,NO_QUERY,ohanne,@luscious_loulou am feeling a bit rubbish today  I've got some sicky bug! Never mind though, am feeling a bit rubbish today  ive got some sicky bug never mind though,Neutral
0,2199667584,Tue Jun 16 17:49:58 PDT 2009,NO_QUERY,pamvila,"@Abzster19 aww, poor Lucky! nothing was wrong with Spot, they took him to the shelter bcuz no one will take care of him after I move out. ", aww poor lucky nothing was wrong with spot they took him to the shelter bcuz no one will take care of him after i move out ,Negative
0,2261595034,Sat Jun 20 21:02:10 PDT 2009,NO_QUERY,sofofifiafa,@lamb_gd i know.. , i know ,Neutral
0,2198614649,Tue Jun 16 16:19:30 PDT 2009,NO_QUERY,BiancaWiseman,it's rain and im bored! ,its rain and im bored ,Negative
0,2195029690,Tue Jun 16 10:35:00 PDT 2009,NO_QUERY,MsNikkiWilliams,@hhneal  omgeeee I miss u!!!,  omgeeee i miss u,Neutral
4,2016304634,Wed Jun 03 06:32:34 PDT 2009,NO_QUERY,jessicatsang,"OOO thank god, Twitter has fixed to where the tweets are credited from  thought I was the only person to have realised this.",ooo thank god twitter has fixed to where the tweets are credited from  thought i was the only person to have realised this,Positive
0,1975567785,Sat May 30 15:26:00 PDT 2009,NO_QUERY,Jameszy,OH GOD. WHAT DOOR IS HE AT? ,oh god what door is he at ,Neutral
4,2176577183,Mon Jun 15 04:14:17 PDT 2009,NO_QUERY,DragonflyeDream,@DJFuture I am hear'g you!!  I am tired....gotta get around for work..ttyl! have a geat day too!! , i am hearg you  i am tiredgotta get around for workttyl have a geat day too ,Neutral
0,1751597431,Sat May 09 19:49:30 PDT 2009,NO_QUERY,srslainey,I get a bit sad when I've done a really good burp and nobody is around to hear it. ,i get a bit sad when ive done a really good burp and nobody is around to hear it ,Positive
4,1882111407,Fri May 22 06:15:14 PDT 2009,NO_QUERY,oceansiql,"@aparna_s - oh well, IQL is rocking!! so i need to keep myself moving around ",  oh well iql is rocking so i need to keep myself moving around ,Neutral
0,1990495653,Mon Jun 01 05:01:19 PDT 2009,NO_QUERY,Leanne0710,@emmarossx wanty go at like half 1 ? am not ready yet , wanty go at like half   am not ready yet ,Negative
0,2244768503,Fri Jun 19 15:11:26 PDT 2009,NO_QUERY,vanakatherock,@DIVACANDICEM   Sorry WWE let you go Candice! I was really looking forward to your return to TV  ,   sorry wwe let you go candice i was really looking forward to your return to tv  ,Negative
0,1983542460,Sun May 31 13:21:26 PDT 2009,NO_QUERY,TuttoBene,"@gina_pina_14 twitfail. To top it off, I missed the 1st half bc my drunk hungover ass slept through my alarm  Talk about failure!", twitfail to top it off i missed the st half bc my drunk hungover ass slept through my alarm  talk about failure,Negative
0,2188091777,Mon Jun 15 21:17:15 PDT 2009,NO_QUERY,mixedupmind,@arakha Yeah. 9pm wednesday til 9pm thursday. So no time for social visits really  damnit!, yeah pm wednesday til pm thursday so no time for social visits really  damnit,Positive
4,1961811969,Fri May 29 10:04:50 PDT 2009,NO_QUERY,xJanyx,hey @mileycyrus on 3 rd June Hannah Montana the movie comes to cinemas in Germany  Me and my sis are very exited to see your movie ,hey  on  rd june hannah montana the movie comes to cinemas in germany  me and my sis are very exited to see your movie ,Positive
4,2062846522,Sun Jun 07 00:29:59 PDT 2009,NO_QUERY,kirs10chan,"@DonnieWahlberg please do something for the BHs in Chicago... and then pick me as the winner!  You won't regret it!  I heart you, ddub!  ", please do something for the bhs in chicago and then pick me as the winner  you wont regret it  i heart you ddub  ,Neutral
4,2185010929,Mon Jun 15 16:45:05 PDT 2009,NO_QUERY,no_ware_land,steppin' away!  tweet ya l8r!!  ,steppin away  tweet ya lr  ,Neutral
0,1971780002,Sat May 30 07:52:55 PDT 2009,NO_QUERY,hipplepatel,"it's so sad when someone has to come to the hospital, to see a sick loved one....so sad ",its so sad when someone has to come to the hospital to see a sick loved oneso sad ,Negative
0,2250311381,Sat Jun 20 00:12:24 PDT 2009,NO_QUERY,talentdiva,"It's midnight, I'm back from my tweet up. I had a blast! Headed to bed to be up @3AM to catch 6AM flight. Yikes! &amp; I have a 4 hr layover. ",its midnight im back from my tweet up i had a blast headed to bed to be up  to catch am flight yikes amp i have a  hr layover ,Neutral
0,2039666841,Thu Jun 04 22:30:30 PDT 2009,NO_QUERY,nicollette78,@annemul I don't want you to leave , i dont want you to leave ,Neutral
0,1685743263,Sun May 03 01:51:11 PDT 2009,NO_QUERY,SarahNicholas,"@jamesbeston My mother considered the Rumble Tums breakfast bowl a frippery , so I never got one  I used to recite the poem to punish her.", my mother considered the rumble tums breakfast bowl a frippery  so i never got one  i used to recite the poem to punish her,Neutral
0,1992913625,Mon Jun 01 09:31:39 PDT 2009,NO_QUERY,dmhuber,think my bike is broken and i dont know how to fix it...sad day  D.H.,think my bike is broken and i dont know how to fix itsad day  dh,Negative
4,1556491172,Sat Apr 18 23:02:39 PDT 2009,NO_QUERY,Stephny,I am sooo tired ,i am sooo tired ,Negative
4,1564758163,Mon Apr 20 04:49:16 PDT 2009,NO_QUERY,pianoeditor,"@pocahontis Happy birthday! Hope you have an excellent day with lots of cake. In moderation, of course. ", happy birthday hope you have an excellent day with lots of cake in moderation of course ,Positive
0,2191815916,Tue Jun 16 06:01:16 PDT 2009,NO_QUERY,yvettenicole,8am classes  3 more weeks lefttt,am classes   more weeks lefttt,Positive
